Time resolution is 1 ps
Test 0: A = 1671559651, B = 1488455947, cin = 0, Sum = -1134951698, cout = 0, Expected_Sum = -1134951698, Expected_cout = 0
Test 1: A = 639381494, B = -1981730363, cin = 1, Sum = -1342348868, cout = 0, Expected_Sum = -1342348868, Expected_cout = 0
Test 2: A = 1972828227, B = 1837312936, cin = 1, Sum = -484826132, cout = 0, Expected_Sum = -484826132, Expected_cout = 0
Test 3: A = -1396632553, B = -1818272865, cin = 0, Sum = 1080061878, cout = 1, Expected_Sum = 1080061878, Expected_cout = 1
Test 4: A = 1371436760, B = -1992928286, cin = 0, Sum = -621491526, cout = 0, Expected_Sum = -621491526, Expected_cout = 0
Test 5: A = 1332994725, B = -1242077191, cin = 1, Sum = 90917535, cout = 1, Expected_Sum = 90917535, Expected_cout = 1
Test 6: A = 1460305975, B = 129359569, cin = 1, Sum = 1589665545, cout = 0, Expected_Sum = 1589665545, Expected_cout = 0
Test 7: A = 1277446514, B = 1462354295, cin = 0, Sum = -1555166487, cout = 0, Expected_Sum = -1555166487, Expected_cout = 0
Test 8: A = 1423797835, B = 775176622, cin = 0, Sum = -2095992839, cout = 0, Expected_Sum = -2095992839, Expected_cout = 0
Test 9: A = 1724704519, B = 2052623136, cin = 1, Sum = -517639640, cout = 0, Expected_Sum = -517639640, Expected_cout = 0
Test 10: A = 783534011, B = 1328937324, cin = 1, Sum = 2112471336, cout = 0, Expected_Sum = 2112471336, Expected_cout = 0
Test 11: A = 2119206721, B = -1241325453, cin = 0, Sum = 877881268, cout = 1, Expected_Sum = 877881268, Expected_cout = 1
Test 12: A = 622266430, B = 1689692206, cin = 0, Sum = -1983008660, cout = 0, Expected_Sum = -1983008660, Expected_cout = 0
Test 13: A = 2047986410, B = 1661415280, cin = 1, Sum = -585565605, cout = 0, Expected_Sum = -585565605, Expected_cout = 0
Test 14: A = 1231362230, B = 136198062, cin = 1, Sum = 1367560293, cout = 0, Expected_Sum = 1367560293, Expected_cout = 0
Test 15: A = 1743675374, B = 36700824, cin = 1, Sum = 1780376199, cout = 0, Expected_Sum = 1780376199, Expected_cout = 0
Test 16: A = -1132820583, B = 1268063054, cin = 0, Sum = 135242471, cout = 1, Expected_Sum = 135242471, Expected_cout = 1
Test 17: A = 1975342962, B = 864254780, cin = 0, Sum = -1455369554, cout = 0, Expected_Sum = -1455369554, Expected_cout = 0
Test 18: A = -1845012804, B = 1878917845, cin = 1, Sum = 33905042, cout = 1, Expected_Sum = 33905042, Expected_cout = 1
Test 19: A = -1234203212, B = 1706777160, cin = 1, Sum = 472573949, cout = 1, Expected_Sum = 472573949, Expected_cout = 1
Test 20: A = 1560790852, B = 2009248004, cin = 1, Sum = -724928439, cout = 0, Expected_Sum = -724928439, Expected_cout = 0
Test 21: A = 1328880675, B = -1372438856, cin = 1, Sum = -43558180, cout = 0, Expected_Sum = -43558180, Expected_cout = 0
Test 22: A = 1961225279, B = 188351996, cin = 1, Sum = -2145390020, cout = 0, Expected_Sum = -2145390020, Expected_cout = 0
Test 23: A = -1969963216, B = 1517232672, cin = 1, Sum = -452730543, cout = 0, Expected_Sum = -452730543, Expected_cout = 0
Test 24: A = -2046890903, B = 1330974303, cin = 1, Sum = -715916599, cout = 0, Expected_Sum = -715916599, Expected_cout = 0
Test 25: A = 2032913062, B = 1508494735, cin = 1, Sum = -753559498, cout = 0, Expected_Sum = -753559498, Expected_cout = 0
Test 26: A = -1702172773, B = 1609087480, cin = 0, Sum = -93085293, cout = 0, Expected_Sum = -93085293, Expected_cout = 0
Test 27: A = 1193544332, B = 1494516894, cin = 1, Sum = -1606906069, cout = 0, Expected_Sum = -1606906069, Expected_cout = 0
Test 28: A = 1311526814, B = 1939827769, cin = 1, Sum = -1043612712, cout = 0, Expected_Sum = -1043612712, Expected_cout = 0
Test 29: A = 612999950, B = 985888453, cin = 1, Sum = 1598888404, cout = 0, Expected_Sum = 1598888404, Expected_cout = 0
Test 30: A = 1422967822, B = 149931619, cin = 0, Sum = 1572899441, cout = 0, Expected_Sum = 1572899441, Expected_cout = 0
Test 31: A = 1694539525, B = -1384552078, cin = 0, Sum = 309987447, cout = 1, Expected_Sum = 309987447, Expected_cout = 1
Test 32: A = 1313144475, B = -2109067904, cin = 1, Sum = -795923428, cout = 0, Expected_Sum = -795923428, Expected_cout = 0
Test 33: A = 724093545, B = 1732955269, cin = 1, Sum = -1837918481, cout = 0, Expected_Sum = -1837918481, Expected_cout = 0
Test 34: A = 1120931069, B = 898616096, cin = 1, Sum = 2019547166, cout = 0, Expected_Sum = 2019547166, Expected_cout = 0
Test 35: A = 1667700213, B = 1622709642, cin = 1, Sum = -1004557440, cout = 0, Expected_Sum = -1004557440, Expected_cout = 0
Test 36: A = 829917278, B = 596157063, cin = 1, Sum = 1426074342, cout = 0, Expected_Sum = 1426074342, Expected_cout = 0
